"rut","nombre_postulante","puntaja_notas","puntaja_ranking_notas","puntaja_lenguaje","puntaja_matemática","puntaja_historia","puntaja_ciencias","puntaja_otro","género","dirección_región","dirección_provincia","dirección_comuna","dirección_calle","dirección_número"
"22634693-4","Luis Rodriguez",459,548,559,537,517,500,619,"Masculino","Santiago","Osorno","Osorno","Calle 67",422
"14114304-7","Victor Perez",500,514,639,648,560,453,467,"Femenino","Santiago","Santiago","Concepción","Calle 59",475
"20791008-3","Carlos Lopez",605,594,495,482,456,459,540,"Masculino","Santiago","Osorno","Valparaíso","Calle 3",21
"16705395-7","Ana Osorio",599,464,539,484,505,549,646,"Masculino","Metropolitana","Osorno","Concepción","Calle 99",994
"24239949-9","Luis Osorio",614,525,525,457,572,593,521,"Femenino","Santiago","Porvenir","Santiago Centro","Calle 50",32
"15416833-6","Carlos Rodriguez",580,580,561,516,471,648,550,"Masculino","Santiago","Coquimbo","Osorno","Calle 2",836
"18968960-0","Mariana Lopez",620,552,563,535,596,647,549,"Masculino","Los Lagos","Osorno","Santiago Centro","Calle 79",867
"14977263-2","Ana Larrahona",517,624,451,480,616,635,487,"Masculino","Coquimbo","Valparaíso","Concepción","Calle 1",13
"12657784-7","Luis Diaz",456,635,517,504,467,453,614,"Masculino","Los Lagos","Concepción","Porvenir","Calle 63",254
"15184527-6","Luis Perez",523,496,629,501,523,576,506,"Masculino","Los Lagos","Porvenir","Concepción","Calle 64",184
"15483236-3","Camila Garcia",577,604,481,501,555,536,588,"Femenino","Coquimbo","Santiago","Lago Verde","Calle 24",289
"13024962-5","Diego Rodriguez",631,544,576,453,544,548,499,"Masculino","Metropolitana","Valparaíso","Lago Verde","Calle 53",869
"15464351-9","Luis Rodriguez",512,617,480,513,580,494,499,"Femenino","Aconcagua","Coquimbo","Valparaíso","Calle 67",275
"22100421-2","Diego Larrahona",484,645,570,610,466,529,594,"Femenino","Coquimbo","Valparaíso","Porvenir","Calle 57",171
"12954238-2","Diego Martinez",604,466,560,486,463,577,548,"Masculino","Santiago","Concepción","Osorno","Calle 59",280
"19977486-3","Victor Osorio",645,457,631,463,468,512,539,"Femenino","Santiago","Coquimbo","Valparaíso","Calle 40",881
"13132084-8","Ana Rodriguez",631,597,458,569,561,579,618,"Femenino","Coquimbo","Santiago","Lago Verde","Calle 93",485
"22030040-4","Ana Gonzalez",515,544,610,514,622,553,590,"Femenino","Aconcagua","Coquimbo","Porvenir","Calle 34",889
"23928721-9","Mariana Lopez",599,586,530,484,505,537,551,"Masculino","Aconcagua","Santiago","Osorno","Calle 112",408
"12228577-9","Carlos Diaz",630,496,617,542,458,565,457,"Femenino","Santiago","Coquimbo","Porvenir","Calle 98",40
"13729382-6","Francisca Larrahona",559,512,620,598,600,540,645,"Femenino","Aconcagua","Santiago","Santiago Centro","Calle 69",287
"10481930-9","Victor Lopez",486,500,619,627,466,635,596,"Femenino","Los Lagos","Porvenir","Concepción","Calle 5",145
"18612532-6","Diego Rodriguez",450,491,503,598,546,617,639,"Femenino","Aconcagua","Valparaíso","Porvenir","Calle 112",229
"10013722-4","Victor Rodriguez",643,507,627,637,466,549,634,"Masculino","Los Lagos","Osorno","Santiago Centro","Calle 105",313
"22195278-9","Diego Garcia",633,618,582,595,510,526,513,"Femenino","Metropolitana","Osorno","Concepción","Calle 17",289
"10827228-4","Javier Garcia",492,550,612,486,517,561,518,"Masculino","Santiago","Valparaíso","Santiago Centro","Calle 27",212
"10979007-8","Diego Martinez",573,537,601,457,472,504,464,"Femenino","Santiago","Porvenir","Santiago Centro","Calle 107",285
"10001244-4","Javier Gonzalez",609,550,477,478,579,520,506,"Femenino","Biobío","Coquimbo","Porvenir","Calle 14",675
"22737791-2","Luis Hernandez",570,460,510,552,610,502,514,"Femenino","Los Lagos","Concepción","Santiago Centro","Calle 46",26
"21469674-0","Victor Larrahona",613,512,509,643,566,637,607,"Masculino","Aconcagua","Coquimbo","Valparaíso","Calle 96",582
