"rut","nombre_matriculado","puntaja_notas","puntaja_ranking_notas","puntaja_lenguaje","puntaja_matemática","puntaja_historia","puntaja_ciencias","puntaja_otro","género","dirección_región","dirección_provincia","dirección_comuna","dirección_calle","dirección_número"
"21845186-4","Sofia Diaz",679,747,675,677,784,791,736,"Masculino","Biobío","Osorno","Lago Verde","Calle 51",547
"10902555-5","Javier Gonzalez",847,723,789,731,756,741,754,"Femenino","Coquimbo","Porvenir","Lago Verde","Calle 17",481
"18956576-3","Javier Lopez",685,843,694,843,666,825,791,"Masculino","Coquimbo","Santiago","Valparaíso","Calle 125",276
"12992191-2","Carlos Osorio",830,798,793,670,689,663,788,"Femenino","Metropolitana","Valparaíso","Osorno","Calle 90",515
"18428763-3","Javier Lopez",806,785,787,750,830,710,703,"Femenino","Aconcagua","Coquimbo","Osorno","Calle 90",129
"24500675-9","Carlos Diaz",686,682,654,835,814,657,782,"Femenino","Santiago","Santiago","Porvenir","Calle 149",622
"17938378-4","Diego Lopez",838,746,824,832,792,740,775,"Masculino","Metropolitana","Coquimbo","Valparaíso","Calle 25",523
"11212706-0","Sofia Hernandez",759,737,655,796,822,667,692,"Masculino","Coquimbo","Osorno","Osorno","Calle 9",762
"13990422-8","Carlos Martinez",819,795,798,792,698,664,661,"Masculino","Aconcagua","Valparaíso","Osorno","Calle 82",355
"24198206-7","Victor Lopez",831,769,730,737,730,704,719,"Masculino","Coquimbo","Concepción","Lago Verde","Calle 27",227
"13163476-4","Javier Rodriguez",819,665,675,819,798,811,812,"Masculino","Metropolitana","Valparaíso","Concepción","Calle 87",547
"14162039-1","Camila Osorio",832,653,750,702,807,674,664,"Femenino","Los Lagos","Porvenir","Osorno","Calle 127",311
"17717649-3","Sofia Hernandez",839,816,756,718,813,771,666,"Masculino","Biobío","Osorno","Lago Verde","Calle 113",82
"16925422-6","Mariana Hernandez",695,747,744,795,775,835,720,"Femenino","Coquimbo","Valparaíso","Valparaíso","Calle 99",166
"17726151-0","Francisca Lopez",806,839,725,690,831,650,842,"Femenino","Santiago","Concepción","Valparaíso","Calle 101",526
"17859146-4","Mariana Rodriguez",700,741,692,724,715,703,771,"Masculino","Biobío","Porvenir","Valparaíso","Calle 131",469
"10704206-8","Diego Lopez",681,813,673,742,661,689,795,"Masculino","Coquimbo","Santiago","Osorno","Calle 150",415
"13621481-3","Carlos Perez",778,800,849,714,676,721,716,"Femenino","Los Lagos","Concepción","Santiago Centro","Calle 128",299
"17048168-8","Luis Larrahona",811,849,714,656,716,667,658,"Masculino","Metropolitana","Concepción","Porvenir","Calle 95",291
"12318722-6","Ana Garcia",659,796,812,695,668,816,660,"Masculino","Biobío","Osorno","Santiago Centro","Calle 78",655
"14451447-7","Victor Garcia",718,720,711,812,811,822,797,"Femenino","Biobío","Valparaíso","Valparaíso","Calle 128",970
"13446116-7","Luis Garcia",654,843,723,662,673,728,826,"Masculino","Biobío","Concepción","Osorno","Calle 5",933
"14379146-9","Camila Gonzalez",832,795,805,729,813,753,800,"Masculino","Metropolitana","Porvenir","Concepción","Calle 43",794
"24062468-7","Francisca Lopez",771,706,701,773,804,739,772,"Femenino","Coquimbo","Porvenir","Porvenir","Calle 113",652
"20458968-9","Carlos Osorio",763,825,800,677,727,729,824,"Masculino","Santiago","Porvenir","Valparaíso","Calle 21",325
"23553394-9","Javier Larrahona",779,771,664,746,689,673,763,"Femenino","Biobío","Valparaíso","Porvenir","Calle 8",288
"21317050-7","Victor Hernandez",804,672,816,762,826,761,803,"Masculino","Metropolitana","Porvenir","Lago Verde","Calle 40",858
"14179271-9","Javier Larrahona",711,762,704,657,734,821,813,"Masculino","Metropolitana","Valparaíso","Osorno","Calle 144",224
"20454694-6","Carlos Martinez",788,788,735,700,839,745,660,"Femenino","Metropolitana","Porvenir","Concepción","Calle 51",412
"20814992-3","Victor Rodriguez",713,779,770,717,799,729,821,"Femenino","Biobío","Coquimbo","Valparaíso","Calle 12",301
"18348576-4","Mariana Gonzalez",750,695,793,757,766,820,726,"Femenino","Coquimbo","Valparaíso","Lago Verde","Calle 89",413
